Model,Accuracy,Precision,Recall,F1_macro,Avg_loss,Train_time_s,Infer_time_s,Notes
EfficientNet-B0,0.9874149659863946,0.9880400638213882,0.9874149659863946,0.9872831243277748,,19021.01802158356,,
ViT-small,0.9812925170068028,0.9817887846099818,0.9812925170068026,0.9812897319260004,,34493.56502389908,,
MobileNetV3,0.9887755102040816,0.9892107672651004,0.9887755102040816,0.9887662762047568,,10599.301579475405,,
MediaPipe + SVM,0.7855002995805872,0.7098116727918238,0.7241272485911361,0.7075983473743804,,0.8839883804321289,0.8878588676452637,"Train used 6559, skipped 5215; Test used 1669, skipped 1271"
