model_a,model_b,name_a,name_b,N_paired,acc_a,acc_b,acc_diff_a_minus_b,bootstrap_ci95_low,bootstrap_ci95_high,"mcnemar_b(A correct,B wrong)","mcnemar_c(A wrong,B correct)",mcnemar_p,ttest_p_per_class_acc,ttest_classes_used,mcnemar_p_holm
efficientnet_b0,vit_small,EfficientNet-B0,ViT-small,2940,0.9874149659863946,0.9812925170068028,0.006122448979591799,0.0006802721088434716,0.011573129251700655,46,28,0.04739297550405179,0.24528468284432203,49,0.09478595100810358
efficientnet_b0,mobilenetv3,EfficientNet-B0,MobileNetV3,2940,0.9874149659863946,0.9887755102040816,-0.0013605442176870541,-0.005782312925170063,0.0027210884353742193,18,22,0.6358280026288412,0.5914307546827431,49,0.6358280026288412
efficientnet_b0,mediapipe_svm,EfficientNet-B0,MediaPipe + SVM,1669,0.9886159376872379,0.7855002995805872,0.20311563810665068,0.18334331935290593,0.2240862792091073,354,15,3.186528167034269e-85,7.03788508182903e-09,49,1.5932640835171346e-84
vit_small,mobilenetv3,ViT-small,MobileNetV3,2940,0.9812925170068028,0.9887755102040816,-0.007482993197278853,-0.013265306122448917,-0.001700680272108901,26,48,0.014079981429530056,0.09173629299768905,49,0.04223994428859017
vit_small,mediapipe_svm,ViT-small,MediaPipe + SVM,1669,0.9802276812462553,0.7855002995805872,0.19472738166566805,0.17435590173756743,0.21569802276812455,350,25,1.785006067223704e-74,1.2041420554834274e-08,49,7.140024268894816e-74
mobilenetv3,mediapipe_svm,MobileNetV3,MediaPipe + SVM,1669,0.9898142600359496,0.7855002995805872,0.20431396045536243,0.1845416417016178,0.22528460155781904,354,13,1.9596760345326128e-87,4.9834859473525655e-09,49,1.1758056207195677e-86
